Point Cloud Visibility
43
Visibility for camera video5771447340057498062_frame00000.jpg
559 38.0783 531.113
561 40.9818 343.294
565 75.8718 199.006
567 88.0389 318.601
568 92.136 185.377
569 94.7907 31.4422
576 153.777 674.41
579 94.9896 1049.68
580 108.318 1020.28
582 243.512 362.303
583 242.395 362.044
584 169.034 1017.75
586 107.948 1177.96
587 89.6265 1235.96
591 245.227 854.899
594 182.179 1127.63
595 336.047 18.5796
598 277.316 979.676
604 350.84 858.868
605 270.726 1153.34
607 478.007 59.457
611 420.006 971.107
612 509.754 668.58
613 389.035 1163.01
616 396.28 1180.1
617 485.146 987.587
618 521.81 836.624
620 527.376 909.453
622 450.721 1157.94
624 556.955 891.273
626 564.85 992.684
627 629.11 608.179
628 680.816 388.193
629 680.816 388.193
630 702.934 405.639
631 13.9214 995.413
632 24.1247 146.821
633 31.307 426.402
634 40.4056 780.698
635 54.2549 654.252
636 56.4226 345.601
637 92.9037 553.269
638 94.1978 528.747
639 107.855 426.191
640 110.138 534.447
641 140.406 714.077
642 142.355 404.738
643 144.873 922.216
644 163.069 503.781
645 185.776 557.133
646 213.88 1000.05
647 225.409 988.382
648 246.836 981.049
649 270.824 35.5635
650 279.866 1048.69
651 323.176 457.706
652 342.194 1067.47
653 346.325 762.691
654 356.605 802.641
655 356.605 802.641
656 371.424 924.269
657 373.655 688.24
658 437.132 963.975
659 449.004 863.245
660 472.027 313.569
661 529.545 983.209
662 546.499 1161.4
663 546.499 1161.4
664 599.957 1049.2
665 600.186 980.225
666 603.149 485.464
667 616.884 982.287
668 629.177 1136.11
669 631.776 887.966
670 641.445 867.043
671 643.176 785.905
